GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
achat,tn.esprit.rh.achat.entities,CategorieProduit,43,3,0,0,6,1,9,1,9,1
achat,tn.esprit.rh.achat.entities,Operateur,53,3,0,0,7,1,11,1,11,1
achat,tn.esprit.rh.achat.entities,Facture,93,3,0,0,11,1,19,1,19,1
achat,tn.esprit.rh.achat.entities,CategorieFournisseur,0,24,0,0,0,2,0,1,0,1
achat,tn.esprit.rh.achat.entities,DetailFournisseur,63,3,0,0,8,1,13,1,13,1
achat,tn.esprit.rh.achat.entities,Produit,90,6,0,0,10,2,18,2,18,2
achat,tn.esprit.rh.achat.entities,Reglement,63,3,0,0,8,1,13,1,13,1
achat,tn.esprit.rh.achat.entities,SecteurActivite,43,3,0,0,6,1,9,1,9,1
achat,tn.esprit.rh.achat.entities,Stock,65,3,0,0,12,1,12,1,12,1
achat,tn.esprit.rh.achat.entities,Fournisseur,73,3,0,0,9,1,15,1,15,1
achat,tn.esprit.rh.achat.entities,DetailFacture,73,3,0,0,9,1,15,1,15,1
achat,tn.esprit.rh.achat.controllers,FactureRestController,43,3,0,0,13,1,7,1,7,1
achat,tn.esprit.rh.achat.controllers,ProduitRestController,34,3,0,0,10,1,6,1,6,1
achat,tn.esprit.rh.achat.controllers,CategorieProduitController,28,3,0,0,8,1,5,1,5,1
achat,tn.esprit.rh.achat.controllers,OperateurController,28,3,0,0,8,1,5,1,5,1
achat,tn.esprit.rh.achat.controllers,FournisseurRestController,34,3,0,0,10,1,6,1,6,1
achat,tn.esprit.rh.achat.controllers,SecteurActiviteController,28,3,0,0,8,1,5,1,5,1
achat,tn.esprit.rh.achat.controllers,ReglementRestController,32,3,0,0,9,1,5,1,5,1
achat,tn.esprit.rh.achat.controllers,StockRestController,28,3,0,0,8,1,5,1,5,1
achat,tn.esprit.rh.achat,AchatApplication,5,3,0,0,2,1,1,1,1,1
achat,tn.esprit.rh.achat.util,SpringFoxSwaggerConfig,0,80,0,0,0,22,0,6,0,6
achat,tn.esprit.rh.achat.services,OperateurServiceImpl,34,3,0,0,9,1,5,1,5,1
achat,tn.esprit.rh.achat.services,StockServiceImpl,167,7,4,0,33,2,8,2,6,2
achat,tn.esprit.rh.achat.services,SecteurActiviteServiceImpl,34,3,0,0,9,1,5,1,5,1
achat,tn.esprit.rh.achat.services,FactureServiceImpl,208,7,4,0,41,2,10,2,8,2
achat,tn.esprit.rh.achat.services,FournisseurServiceImpl,112,7,2,0,26,2,8,2,7,2
achat,tn.esprit.rh.achat.services,CategorieProduitServiceImpl,33,3,0,0,9,1,5,1,5,1
achat,tn.esprit.rh.achat.services,ReglementServiceImpl,35,3,0,0,8,1,5,1,5,1
achat,tn.esprit.rh.achat.services,ProduitServiceImpl,25,72,0,2,5,15,1,8,1,7
